domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
wiadomosci.wp.pl,0.02764404748626626,0.2220209512660678,0.4540072580366749,0.2322993676649694,207.0
wydarzenia.interia.pl,0.052556572614859125,0.16686920509262512,0.4517011615621166,0.1947940663536649,89.0
tvn24.pl,0.02431946644141766,0.1869236273180193,0.3810971745621136,0.21537892460534674,82.0
sport.interia.pl,0.08765916384768843,0.1754670965364041,0.49505793917679164,0.18156551940319507,61.0
www.sport.pl,0.07246915216302972,0.23535593195380994,0.4415633006449333,0.2165781955267253,49.0
wiadomosci.gazeta.pl,0.02157094757094757,0.21016430104188985,0.4682814654481321,0.2669919035259986,45.0
natemat.pl,0.0723133799270163,0.18355831091415312,0.5008624184793016,0.1676380585006206,37.0
www.bankier.pl,0.047067025281310994,0.13877005543189572,0.35679088643374357,0.2047998245879991,37.0
spidersweb.pl,-0.020973459080601935,0.24877260624463124,0.502988287065668,0.20630772624394647,30.0
geekweek.interia.pl,0.10892492384159051,0.18632467759366553,0.506032227032227,0.16554324259094474,30.0
businessinsider.com.pl,0.05611243823516551,0.14701999920489042,0.4227772311863221,0.2621416129539215,25.0
kobieta.gazeta.pl,0.22849057604443093,0.14203176730273262,0.5539142750253861,0.15305438601072802,21.0
next.gazeta.pl,0.05357867894632601,0.24211636227027197,0.5941221033868093,0.17532741390207793,17.0
imagazine.pl,0.012603271728271727,0.13785659195200922,0.5068181401931402,0.23043307060943968,13.0
przegladsportowy.onet.pl,0.15782151875901873,0.3136433288836591,0.54752886002886,0.13704945464108603,11.0
antyweb.pl,0.07480098605098605,0.11749923499867954,0.4881084656084656,0.21554678857826554,11.0
motoryzacja.interia.pl,0.06995321905927968,0.20418008933276885,0.4632318130802979,0.15030207246593263,11.0
www.plotek.pl,-0.03333333333333333,0.2597999841147642,0.5062770562770562,0.2712755891506214,11.0
android.com.pl,-0.056788419913419916,0.3094914733893904,0.5049215367965367,0.2382179007194126,10.0
www.filmweb.pl,0.07180134680134681,0.22891476819962436,0.32087381754048416,0.15724992499229246,9.0
www.money.pl,0.026946334089191233,0.12746240132766443,0.32826908541194255,0.23025608464592398,7.0
kobieta.interia.pl,0.1505456349206349,0.22391486596757854,0.550218253968254,0.17483045610486242,7.0
zdrowie.natemat.pl,0.17602164502164502,0.2215090059484539,0.40885497835497836,0.07160200821646029,5.0
gry.interia.pl,0.1734375,0.08860700203813007,0.6380208333333333,0.2556671046552094,4.0
www.gry-online.pl,0.10785353535353537,0.12980958364984532,0.6179608585858587,0.08299827902578906,4.0
rozrywka.natemat.pl,0.20300324675324674,0.19013633870009855,0.3497429653679654,0.14567686092897658,4.0
wiadomosci.onet.pl,-0.027741702741702744,0.041132992793424056,0.16966390091390093,0.21675797781504857,3.0
kopalniawiedzy.pl,0.1888095238095238,0.2546260207261603,0.41992063492063486,0.23974692975097492,3.0
www.benchmark.pl,0.1357142857142857,0.19192898346492004,0.6202380952380953,0.18351104559365158,2.0
muzyka.interia.pl,0.2444940476190476,0.07849727064957804,0.31547619047619047,0.4461507071772264,2.0
miejskireporter.pl,0.0,1.0,0.0,1.0,1.0
www.auto-swiat.pl,0.0,1.0,0.0,1.0,1.0
news.mrugalski.pl,0.0,1.0,0.0,1.0,1.0
gadzetomania.pl,0.0,1.0,0.0,1.0,1.0
film.interia.pl,0.0,1.0,0.0,1.0,1.0
www.purepc.pl,0.0,1.0,0.0,1.0,1.0
di.com.pl,0.0,1.0,0.0,1.0,1.0
astronet.pl,0.0,1.0,0.0,1.0,1.0
zdrowie.gazeta.pl,0.0,1.0,0.0,1.0,1.0
swiatczytnikow.pl,0.0,1.0,0.0,1.0,1.0
