,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Poland,Poland,GPE,0.11567367,0.41304377,en,53.90000000,4046496-9,798544,A,52.00000000,20.00000000,EUROPE,Poland,WCE
Iran,Iran,GPE,0.00864362,0.17746327,en,18.80000000,4027653-3,130758,A,32.00000000,53.00000000,ASIA,Iran,WCA
US,US,GPE,0.12916891,0.58128624,en,16.90000000,,0,,,,,,
Russia,Russia,GPE,0.01712329,0.25856164,en,14.60000000,4076899-5,2017370,A,60.00000000,100.00000000,ASIA,Russia,ESB
USA,USA,GPE,0.05742695,0.23234578,en,11.20000000,4078704-7,6252001,X,39.75999900,-98.50000000,NORTH-AMERICA,United States,CNA
the United States,the United States,GPE,0.13586957,0.56847826,en,9.20000000,,0,,,,,,
Warsaw,Warsaw,GPE,0.03431373,0.18725490,en,8.50000000,4079048-4,756135,P,52.22977000,21.01178000,EUROPE,Poland,WCE
Ukraine,Ukraine,GPE,0.04750000,0.46187500,en,8.00000000,4061496-7,690791,A,49.00000000,32.00000000,EUROPE,Ukraine,WCE
Dubai,Dubai,GPE,0.08272283,0.25793651,en,7.80000000,4204044-9,292223,P,25.07725000,55.30927000,ASIA,United Arab Emirates,ARP
Europe,Europe,LOC,0.07720588,0.31985294,en,6.80000000,,0,,,,,,
Italy,Italy,GPE,-0.22500000,0.25625000,en,6.00000000,4027833-5,3175395,A,42.83333000,12.83333000,EUROPE-AFRICA,Italy,MED
Sicily,Sicily,GPE,0.02614796,0.37643495,en,5.60000000,4055193-3,2523118,T,37.62304000,13.93457000,EUROPE-AFRICA,Italy,MED
Portugal,Portugal,GPE,0.05929487,0.40544872,en,5.20000000,4046843-4,2264397,A,39.69450000,-8.13057000,EUROPE-AFRICA,Portugal,MED
Tehran,Tehran,GPE,0.07843137,0.22549020,en,5.10000000,4059304-6,112931,P,35.69439000,51.42151000,ASIA,Iran,WCA
the Middle East,the Middle East,LOC,0.00388889,0.09333333,en,5.00000000,,12217091,L,35.80000000,-86.50000000,NORTH-AMERICA,United States,ENA
Israel,Israel,GPE,0.04340278,0.16319444,en,4.80000000,4027808-6,294640,A,31.50000000,34.75000000,EUROPE-AFRICA,Israel,MED
Ząbki,Ząbki,GPE,0.04658385,0.11490683,en,4.60000000,,754351,P,52.29271000,21.10539000,EUROPE,Poland,WCE
Switzerland,Switzerland,GPE,-0.06756757,0.05405405,en,3.70000000,,2658434,A,47.00016000,8.01427000,EUROPE,Switzerland,WCE
Washington,Washington,GPE,0.13595414,0.39537265,en,3.70000000,4064682-8,4140963,P,38.89511000,-77.03637000,NORTH-AMERICA,United States,ENA
Argentina,Argentina,GPE,0.02702703,0.66891892,en,3.70000000,4002890-2,3865483,A,-34.00000000,-64.00000000,SOUTH-AMERICA,Argentina,SES
Bahrain,Bahrain,GPE,0.05630631,0.21396396,en,3.70000000,4004268-6,290291,A,26.03333000,50.55000000,ASIA,Bahrain,ARP
Szczawno,Szczawno,GPE,0.03809524,0.07619048,en,3.50000000,5087767-7,3083835,P,50.80352000,16.25655000,EUROPE,Poland,WCE
Greece,Greece,GPE,-0.20000000,0.29285714,en,3.50000000,4022047-3,390903,A,39.00000000,22.00000000,EUROPE-AFRICA,Greece,MED
Niscemi,Niscemi,GPE,0.11175115,0.53485023,en,3.10000000,4461093-2,2524006,P,37.14649000,14.39381000,EUROPE-AFRICA,Italy,MED
China,China,GPE,0.12903226,0.62903226,en,3.10000000,4009937-4,1814991,A,35.00000000,105.00000000,ASIA,China,EAS
Alps,Alps,GPE,-0.24193548,0.24193548,en,3.10000000,,0,,,,,,
Madagascar,Madagascar,GPE,0.17857143,0.35714286,en,2.80000000,4074425-5,1062947,A,-20.00000000,47.00000000,AFRICA,Madagascar,MDG
Radom,Radom,GPE,-0.21428571,0.35714286,en,2.80000000,4278180-2,760778,P,51.40253000,21.14714000,EUROPE,Poland,WCE
Boston,Boston,GPE,0.08143939,0.44805195,en,2.80000000,4007840-1,4930956,P,42.35843000,-71.05977000,NORTH-AMERICA,United States,ENA
the Strait of Hormuz,the Strait of Hormuz,LOC,-0.04761905,0.09523810,en,2.80000000,,0,,,,,,
New York,New York,GPE,0.14610390,0.48701299,en,2.80000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
the Mediterranean Sea,the Mediterranean Sea,LOC,0.00000000,0.00000000,en,2.80000000,,0,,,,,,
United States,United States,GPE,0.00000000,0.72321429,en,2.80000000,,0,,,,,,
Glasgow,Glasgow,GPE,0.04676871,0.74022109,en,2.80000000,4021159-9,2648579,P,55.86515000,-4.25763000,EUROPE,United Kingdom,NEU
Pskov,Pskov,LOC,0.09821429,0.60416667,en,2.80000000,4046355-2,504341,P,57.81922000,28.33181000,EUROPE,Russia,WCE
Cupertino,Cupertino,GPE,0.07142857,0.35714286,en,2.80000000,4104274-8,5341145,P,37.32300000,-122.03218000,NORTH-AMERICA,United States,WNA
Skarżysko-Kamienna,Skarżysko-Kamienna,GPE,-0.26785714,0.26785714,en,2.80000000,4339394-9,759141,P,51.11311000,20.87162000,EUROPE,Poland,WCE
New Zealand,New Zealand,GPE,-0.02365967,0.73053613,en,2.60000000,4041915-0,2186224,A,-42.00000000,174.00000000,OCEANIA,New Zealand,NZ
the United Arab Emirates,the United Arab Emirates,GPE,-0.28205128,0.44871795,en,2.60000000,,8469718,T,25.22231000,55.17181000,ASIA,United Arab Emirates,ARP
Taiwan,Taiwan,GPE,0.31410256,0.58333333,en,2.60000000,4017875-4,1668284,A,24.00000000,121.00000000,ASIA,Taiwan,EAS
Albania,Albania,GPE,0.02666667,0.21333333,en,2.50000000,4001028-4,783754,A,41.00000000,20.00000000,EUROPE-AFRICA,Albania,MED
Spain,Spain,GPE,0.38000000,0.89000000,en,2.50000000,4055964-6,2510769,A,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
Mars,Mars,LOC,0.05666667,0.52333333,en,2.50000000,,6621751,T,-76.66667000,161.95000000,POLAR,Antarctica,EAN
Legia,Legia,GPE,0.08333333,0.37500000,en,2.40000000,,13190371,L,-4.12700000,-80.22483000,SOUTH-AMERICA,Ecuador,NWS
Indonesia,Indonesia,GPE,-0.09722222,0.11805556,en,2.40000000,4026761-1,1643084,A,-5.00000000,120.00000000,ASIA,Indonesia,SEA
Peru,Peru,GPE,-0.04545455,0.11363636,en,2.20000000,4045312-1,3932488,A,-10.00000000,-75.25000000,SOUTH-AMERICA,Peru,NWS
Minas Gerais,Minas Gerais,GPE,-0.16666667,0.48106061,en,2.20000000,4039398-7,3457153,A,-18.00000000,-44.00000000,SOUTH-AMERICA,Brazil,NES
Japan,Japan,GPE,0.00000000,0.09090909,en,2.20000000,4028495-5,1861060,A,35.68536000,139.75309000,ASIA,Japan,EAS
Hołownia,Hołownia,GPE,-0.05681818,0.34090909,en,2.20000000,,0,,,,,,
Milan,Milan,GPE,-0.32500000,0.65000000,en,2.00000000,4037100-1,3173435,P,45.46427000,9.18951000,EUROPE,Italy,WCE
Miami,Miami,GPE,-0.52631579,0.52631579,en,1.90000000,4039108-5,4164138,P,25.77427000,-80.19366000,NORTH-AMERICA,United States,ENA
Taftan,Taftan,GPE,0.00000000,0.00000000,en,1.90000000,,7730756,S,28.96420000,61.59540000,ASIA,Pakistan,SAS
Oklahoma,Oklahoma,GPE,0.26315789,0.26315789,en,1.90000000,4043423-0,4544349,P,35.46756000,-97.51643000,NORTH-AMERICA,United States,CNA
Lower Silesia,Lower Silesia,LOC,-0.18421053,0.86842105,en,1.90000000,4008216-7,3081368,P,51.10286000,17.03006000,EUROPE,Poland,WCE
Oslo,Oslo,GPE,-0.15789474,0.10526316,en,1.90000000,1013733-6,3143244,P,59.91273000,10.74609000,EUROPE,Norway,NEU
Brazil,Brazil,GPE,0.00000000,0.00000000,en,1.90000000,4008003-1,3469034,A,-10.00000000,-55.00000000,SOUTH-AMERICA,Brazil,SAM
Predazzo,Predazzo,GPE,0.05263158,0.09649123,en,1.90000000,4047082-9,3169877,P,46.31140000,11.59960000,EUROPE,Italy,WCE
Wągrowiec,Wągrowiec,GPE,0.00000000,0.00000000,en,1.90000000,126990-2,3082712,P,52.80842000,17.19961000,EUROPE,Poland,WCE
the Gulf of Oman,the Gulf of Oman,LOC,0.00000000,0.00000000,en,1.90000000,,4439902,P,31.72683000,-90.14481000,NORTH-AMERICA,United States,CNA
Scotland,Scotland,GPE,0.09523810,0.40664160,en,1.90000000,4053233-1,5057190,A,40.45260000,-92.14705000,NORTH-AMERICA,United States,CNA
Slovakia,Slovakia,GPE,0.00000000,0.00000000,en,1.90000000,4055297-4,3057568,A,48.66667000,19.50000000,EUROPE,Slovakia,WCE
Naples,Naples,GPE,0.00000000,0.00000000,en,1.90000000,4041476-0,3172394,P,40.85216000,14.26811000,EUROPE-AFRICA,Italy,MED
Germany,Germany,GPE,0.12500000,0.14912281,en,1.90000000,4011882-4,2921044,A,51.50000000,10.50000000,EUROPE,Germany,WCE
Hawaii,Hawaii,GPE,0.11403509,0.56798246,en,1.90000000,251184-8,5855797,A,20.78785000,-156.38612000,PACIFIC,United States,NPO
Minneapolis,Minneapolis,GPE,0.46315789,0.34210526,en,1.90000000,4039497-9,5037649,P,44.97997000,-93.26384000,NORTH-AMERICA,United States,CNA
Australia,Australia,GPE,0.03508772,0.93421053,en,1.90000000,4003900-6,2077456,A,-25.00000000,135.00000000,OCEANIA,Australia,CAU
the Baltic Sea,the Baltic Sea,LOC,0.15789474,0.47368421,en,1.90000000,,5226143,P,43.76136000,-96.74033000,NORTH-AMERICA,United States,CNA
Palowice,Palowice,GPE,0.00000000,0.00000000,en,1.90000000,,3089515,P,50.10133000,18.73083000,EUROPE,Poland,WCE
Trikala,Trikala,GPE,-0.36842105,0.53947368,en,1.90000000,4343018-1,252664,P,39.55493000,21.76837000,EUROPE-AFRICA,Greece,MED
Banzai,Banzai,GPE,0.00000000,0.00000000,en,1.90000000,,1864785,A,34.13333000,134.46667000,ASIA,Japan,EAS
PiS,PiS,GPE,0.35294118,0.35294118,en,1.70000000,,2078127,P,-10.42172000,105.67912000,INDIAN,Christmas Island,SIO
Bydgoszcz,Bydgoszcz,GPE,0.00000000,0.00000000,en,1.70000000,17609-6,3102014,P,53.12350000,18.00762000,EUROPE,Poland,WCE
Beijing,Beijing,GPE,-0.02941176,0.02083333,en,1.70000000,4075971-4,1816670,P,39.90750000,116.39723000,ASIA,China,EAS
Warszawa,Warszawa,GPE,0.48529412,0.95588235,en,1.70000000,4079048-4,756135,P,52.22977000,21.01178000,EUROPE,Poland,WCE
Lubuskie,Lubuskie,GPE,0.03921569,0.07843137,en,1.70000000,,3337494,A,52.20000000,15.33333000,EUROPE,Poland,WCE
Manchester City,Manchester City,GPE,0.19485294,0.43014706,en,1.70000000,4114959-2,5089178,P,42.99564000,-71.45479000,NORTH-AMERICA,United States,ENA
Turkey,Turkey,GPE,-0.08823529,0.32352941,en,1.70000000,4061163-2,298795,A,39.00000000,35.00000000,EUROPE-AFRICA,Turkey,MED
Polonia,Polonia,GPE,0.00000000,0.00000000,en,1.70000000,4046496-9,798544,A,52.00000000,20.00000000,EUROPE,Poland,WCE
Colorado,Colorado,GPE,0.05882353,0.23529412,en,1.70000000,4010406-0,5417618,A,39.00027000,-105.50083000,NORTH-AMERICA,United States,WNA
Wirtualna Polska,Wirtualna Polska,GPE,0.03431373,0.05882353,en,1.70000000,,0,,,,,,
Cuba,Cuba,GPE,0.43137255,0.82352941,en,1.70000000,4033340-1,3562981,A,22.00000000,-79.50000000,CENTRAL-AMERICA,Cuba,CAR
Moldova,Moldova,GPE,0.00000000,0.00000000,en,1.60000000,4039967-9,617790,A,47.25000000,28.58333000,EUROPE,Moldova,WCE
Krakow,Krakow,GPE,-0.48863636,1.01704545,en,1.60000000,4073760-3,3094802,P,50.06143000,19.93658000,EUROPE,Poland,WCE
Polska,Polska,GPE,0.09375000,0.40625000,en,1.60000000,4046496-9,798544,A,52.00000000,20.00000000,EUROPE,Poland,WCE
Antarctica,Antarctica,LOC,-0.10209790,0.61223776,en,1.30000000,,0,,,,,,
the Canary Islands,the Canary Islands,LOC,-0.09615385,0.28846154,en,1.30000000,,2520308,T,28.00000000,-15.50000000,AFRICA,Spain,SAH
The United Arab Emirates,The United Arab Emirates,GPE,-0.07692308,0.07692308,en,1.30000000,,8469718,T,25.22231000,55.17181000,ASIA,United Arab Emirates,ARP
Vietnam,Vietnam,GPE,0.03846154,0.73076923,en,1.30000000,4063514-4,1562822,A,16.16667000,107.83333000,ASIA,Vietnam,SEA
Austria,Austria,GPE,-0.38461538,0.76923077,en,1.30000000,4043271-3,2782113,A,47.33333000,13.33333000,EUROPE,Austria,WCE
Madrid,Madrid,GPE,0.15384615,0.23076923,en,1.30000000,4036862-2,3117735,P,40.41650000,-3.70256000,EUROPE-AFRICA,Spain,MED
Lebanon,Lebanon,GPE,0.00000000,0.00000000,en,1.30000000,4035567-6,272103,A,33.83333000,35.83333000,EUROPE-AFRICA,Lebanon,MED
Balice,Balice,GPE,-0.13986014,0.55944056,en,1.30000000,5313679-2,792976,P,43.41217000,20.13595000,EUROPE-AFRICA,Serbia,MED
Lithuania,Lithuania,GPE,0.00000000,0.00000000,en,1.30000000,4074266-0,597427,A,55.41667000,24.00000000,EUROPE,Lithuania,WCE
Barcelona,Barcelona,GPE,-0.32051282,0.29487179,en,1.30000000,4004503-1,3128760,P,41.38879000,2.15899000,EUROPE-AFRICA,Spain,MED
Syria,Syria,GPE,0.00000000,0.00000000,en,1.30000000,4058794-0,163843,A,35.00000000,38.00000000,EUROPE-AFRICA,Syria,MED
Kamchatka,Kamchatka,GPE,0.00000000,0.00000000,en,1.00000000,,2125072,A,55.00000000,159.00000000,ASIA,Russia,RFE
Spanish Andalusia,Spanish Andalusia,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Persia,Persia,GPE,0.00000000,0.00000000,en,1.00000000,4027653-3,130758,A,32.00000000,53.00000000,ASIA,Iran,WCA
Tokyo,Tokyo,GPE,0.00000000,0.00000000,en,1.00000000,4078337-6,1850147,P,35.68950000,139.69171000,ASIA,Japan,EAS
Palm Jumeirah,Palm Jumeirah,GPE,0.60000000,0.90000000,en,1.00000000,,6691113,P,25.11607000,55.13506000,ASIA,United Arab Emirates,ARP
Chota,Chota,GPE,-0.20000000,0.50000000,en,1.00000000,1211116018,1273962,T,23.00000000,85.00000000,ASIA,India,SAS
Morocco,Morocco,GPE,0.00000000,0.00000000,en,1.00000000,4037680-1,2542007,A,28.50000000,-10.00000000,AFRICA,Morocco,SAH
Alabama,Alabama,GPE,0.00000000,0.00000000,en,1.00000000,4084839-5,12217076,L,34.60739000,-86.97977000,NORTH-AMERICA,United States,ENA
Hollywood,Hollywood,GPE,0.00000000,0.00000000,en,1.00000000,4408912-0,4158928,P,26.01120000,-80.14949000,NORTH-AMERICA,United States,ENA
America,America,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Niedźwiedziach,Niedźwiedziach,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Pisz County,Pisz County,GPE,0.00000000,0.00000000,en,1.00000000,5102530-9,762120,P,53.62744000,21.81253000,EUROPE,Poland,WCE
Massachusetts,Massachusetts,GPE,0.50000000,0.50000000,en,1.00000000,4037858-5,6254926,A,42.36565000,-71.10832000,NORTH-AMERICA,United States,ENA
Jawor,Jawor,GPE,-0.75000000,0.75000000,en,1.00000000,125901-5,3097367,P,51.05132000,16.19347000,EUROPE,Poland,WCE
Evros,Evros,GPE,-0.10000000,0.25000000,en,1.00000000,4761279-4,262571,T,37.47443000,25.46074000,EUROPE-AFRICA,Greece,MED
Suwałki,Suwałki,GPE,0.00000000,0.50000000,en,1.00000000,4118924-3,757718,P,54.11175000,22.93087000,EUROPE,Poland,WCE
Mikoszewo,Mikoszewo,GPE,0.00000000,0.00000000,en,1.00000000,7594132-6,3091823,P,54.33344000,18.96679000,EUROPE,Poland,WCE
Tulsa,Tulsa,GPE,0.17045455,0.45454545,en,1.00000000,4117261-9,4553433,P,36.15398000,-95.99277000,NORTH-AMERICA,United States,CNA
Toruń,Toruń,GPE,-0.20000000,0.10000000,en,1.00000000,2024611-0,3083271,P,53.01375000,18.59814000,EUROPE,Poland,WCE
