,phrase,label,sentiment,subjectivity,language,count
Polish,Polish,NORP,,,en,9.800000000000002
one,one,CARDINAL,,,en,8.8
Saturday,Saturday,DATE,,,en,5.1000000000000005
One,One,CARDINAL,,,en,3.8
night,night,TIME,,,en,3.7
Ukrainian,Ukrainian,NORP,,,en,3.6999999999999997
winter,winter,DATE,,,en,3.6999999999999993
Two,Two,CARDINAL,,,en,3.5999999999999996
second,second,ORDINAL,,,en,3.5
Tuesday,Tuesday,DATE,,,en,3.5
morning,morning,TIME,,,en,3.3
2050,2050,DATE,,,en,3.3
Monday,Monday,DATE,,,en,3.3
first,first,ORDINAL,,,en,3.3
Poles,Poles,NORP,,,en,2.9000000000000004
Sunday,Sunday,DATE,,,en,2.9
Italian,Italian,NORP,,,en,2.8
Chinese,Chinese,NORP,,,en,2.6
French,French,NORP,,,en,2.6
the day,the day,DATE,,,en,2.6
Four,Four,CARDINAL,,,en,2.5999999999999996
two,two,CARDINAL,,,en,2.5999999999999996
recent years,recent years,DATE,,,en,2.4
Winter,Winter,DATE,,,en,2.3
Russian,Russian,NORP,,,en,2.3
American,American,NORP,,,en,2.2
European,European,NORP,,,en,2.1999999999999997
three,three,CARDINAL,,,en,1.9
the night,the night,TIME,,,en,1.9
today,today,DATE,,,en,1.9
recent days,recent days,DATE,,,en,1.9
$2 billion,$2 billion,MONEY,,,en,1.9
two-month-old,two-month-old,DATE,,,en,1.9
Russians,Russians,NORP,,,en,1.9
Japanese,Japanese,NORP,,,en,1.9
February 8,February 8,DATE,,,en,1.9
"1,500","1,500",CARDINAL,,,en,1.9
50,50,CARDINAL,,,en,1.9
30 years,30 years,DATE,,,en,1.8
tomorrow - Wednesday,tomorrow - Wednesday,DATE,,,en,1.8
82,82,CARDINAL,,,en,1.7
92,92,CARDINAL,,,en,1.7
37,37,CARDINAL,,,en,1.7
this year,this year,DATE,,,en,1.7
several days,several days,DATE,,,en,1.7
23,23,CARDINAL,,,en,1.7
years,years,DATE,,,en,1.7
the following days,the following days,DATE,,,en,1.0
"PLN 3,000 zloty","PLN 3,000 zloty",MONEY,,,en,1.0
several billion euros,several billion euros,MONEY,,,en,1.0
the turn of January and February,the turn of January and February,DATE,,,en,1.0
the Nobel Peace Prize,the Nobel Peace Prize,WORK_OF_ART,,,en,1.0
Nobel Prize,Nobel Prize,WORK_OF_ART,,,en,1.0
"Thursday, February 12 this year","Thursday, February 12 this year",DATE,,,en,1.0
spring,spring,DATE,,,en,1.0
Fakty po Faktach,Fakty po Faktach,WORK_OF_ART,,,en,1.0
summer,summer,DATE,,,en,1.0
below -30 degrees Celsius,below -30 degrees Celsius,QUANTITY,,,en,1.0
Israeli,Israeli,NORP,,,en,1.0
the morning,the morning,TIME,,,en,1.0
A2,A2,CARDINAL,,,en,1.0
just a few kilometers,just a few kilometers,QUANTITY,,,en,1.0
3.5 years,3.5 years,DATE,,,en,1.0
September,September,DATE,,,en,1.0
the Olympic Games,the Olympic Games,EVENT,,,en,1.0
Several dozen,Several dozen,CARDINAL,,,en,1.0
29,29,CARDINAL,,,en,1.0
Estonian,Estonian,NORP,,,en,1.0
almost 500 kilometers,almost 500 kilometers,QUANTITY,,,en,1.0
ten,ten,CARDINAL,,,en,1.0
10,10,CARDINAL,,,en,1.0
19,19,CARDINAL,,,en,1.0
several years,several years,DATE,,,en,1.0
First,First,ORDINAL,,,en,1.0
Austrian,Austrian,NORP,,,en,1.0
the middle of the night,the middle of the night,TIME,,,en,1.0
Warmian,Warmian,NORP,,,en,1.0
"tomorrow, Wednesday, February 25","tomorrow, Wednesday, February 25",DATE,,,en,1.0
10 degrees,10 degrees,QUANTITY,,,en,1.0
many months,many months,DATE,,,en,1.0
over 30,over 30,CARDINAL,,,en,1.0
Rymanowski Breakfast,Rymanowski Breakfast,WORK_OF_ART,,,en,1.0
the Sochi Olympics,the Sochi Olympics,EVENT,,,en,1.0
the Warsaw-Babice airport,the Warsaw-Babice airport,FAC,,,en,1.0
Czarzasty,Czarzasty,PRODUCT,,,en,1.0
