,phrase,label,sentiment,subjectivity,language,count
IMWM,IMWM,ORG,0.11061946902654865,0.23893805309734506,en,11.300000000000002
Apple,Apple,ORG,-0.03586186540731995,0.31006493506493504,en,7.700000000000001
Ubisoft,Ubisoft,ORG,0.1609748276414943,0.5185786435786436,en,6.3
Google,Google,ORG,0.03295454545454545,0.6424242424242423,en,6.000000000000001
Trump,Trump,ORG,0.024691358024691357,0.10493827160493827,en,5.4
Reuters,Reuters,ORG,-0.015625,0.046875,en,4.0
Real Madrid,Real Madrid,ORG,0.2980769230769231,0.451923076923077,en,3.8999999999999995
EU,EU,ORG,-0.02702702702702703,0.14189189189189189,en,3.7
the Social Welfare Home,the Social Welfare Home,ORG,0.03809523809523809,0.05714285714285715,en,3.5
the Champions League,the Champions League,ORG,0.0,0.2941176470588236,en,3.3999999999999995
PlusLiga,PlusLiga,ORG,0.0,0.32258064516129037,en,3.0999999999999996
Microsoft,Microsoft,ORG,0.3555555555555557,0.5777777777777778,en,2.9999999999999996
the State Protection Service,the State Protection Service,ORG,0.0,0.35714285714285715,en,2.8
Netflix,Netflix,ORG,0.2207792207792208,0.17045454545454547,en,2.8
Amazon Web Services,Amazon Web Services,ORG,-0.2261904761904762,0.2380952380952381,en,2.8
Xbox,Xbox,ORG,0.11538461538461539,0.3461538461538462,en,2.5999999999999996
the European Union,the European Union,ORG,0.08653846153846155,0.19423076923076926,en,2.5999999999999996
Audi,Audi,ORG,0.10144927536231883,0.33333333333333337,en,2.3
The White House,The White House,ORG,0.0,0.0,en,2.1999999999999997
SAS,SAS,ORG,-0.15789473684210528,0.0,en,1.9
The Ministry of National Defense,The Ministry of National Defense,ORG,-0.20175438596491227,0.3508771929824561,en,1.9
ARC Raiders,ARC Raiders,ORG,0.0,0.19736842105263158,en,1.9
RCB,RCB,ORG,0.0,0.2631578947368421,en,1.9
WP,WP,ORG,0.13157894736842105,0.2631578947368421,en,1.9
SOP,SOP,ORG,0.0,0.0,en,1.9
CNN,CNN,ORG,-0.2105263157894737,0.0,en,1.9
Paramount,Paramount,ORG,0.15789473684210525,0.03508771929824561,en,1.9
the Ministry of National Defense,the Ministry of National Defense,ORG,-0.06578947368421052,0.06578947368421052,en,1.9
Toros,Toros,ORG,0.0,0.0,en,1.9
Warner Bros.,Warner Bros.,ORG,0.15789473684210525,0.03508771929824561,en,1.9
the Pilecki Institute,the Pilecki Institute,ORG,-0.2105263157894737,0.0,en,1.9
NASA,NASA,ORG,-0.13157894736842105,0.2631578947368421,en,1.9
Toyota,Toyota,ORG,0.2920938710412395,0.29528366370471637,en,1.9
the Times of Israel,the Times of Israel,ORG,0.052631578947368425,0.0,en,1.9
Smoke,Smoke,ORG,0.0,0.0,en,1.9
the Polish Olympic Committee,the Polish Olympic Committee,ORG,0.05882352941176471,0.4705882352941177,en,1.7
AFP,AFP,ORG,0.0,0.0,en,1.7
the Ministry of Interior and Administration,the Ministry of Interior and Administration,ORG,0.0,0.0,en,1.7
Patriots,Patriots,ORG,0.0,0.05882352941176471,en,1.7
Biedronka,Biedronka,ORG,0.0,0.0,en,1.7
KSC,KSC,ORG,0.05882352941176471,0.23529411764705885,en,1.7
KGHM,KGHM,ORG,0.0,0.0,en,1.7
AWS,AWS,ORG,-0.2058823529411765,0.11764705882352942,en,1.7
the National Council of the Judiciary,the National Council of the Judiciary,ORG,0.0,0.0,en,1.7
Brzesko,Brzesko,ORG,0.0,0.0,en,1.7
the Armed Forces of Ukraine,the Armed Forces of Ukraine,ORG,0.029411764705882363,0.0,en,1.7
the State Fire Service,the State Fire Service,ORG,-0.08823529411764706,0.25490196078431376,en,1.7
