,phrase,label,sentiment,subjectivity,language,count
Karol Nawrocki,Karol Nawrocki,PERSON,0.1099726775956284,0.41393442622950816,en,6.1000000000000005
Phil Spencer,Phil Spencer,PERSON,0.2692307692307693,0.7307692307692308,en,2.5999999999999996
Włodzimierz Czarzasty,Włodzimierz Czarzasty,PERSON,0.37203557312252966,1.1640316205533598,en,2.3
Donald Trump,Donald Trump,PERSON,0.0,0.0,en,1.9000000000000001
Cyclone Gezani,Cyclone Gezani,PERSON,0.0,0.0,en,1.9
Aryna Sabalenka,Aryna Sabalenka,PERSON,0.0,0.5263157894736842,en,1.9
Harry Bis,Harry Bis,PERSON,0.0,0.0,en,1.9
Stefan Krajewski,Stefan Krajewski,PERSON,0.0,0.0,en,1.9
Marta Nawrocka,Marta Nawrocka,PERSON,0.13157894736842105,0.2280701754385965,en,1.9
Tim Cook,Tim Cook,PERSON,0.0,0.0,en,1.9
Rachel Zegler,Rachel Zegler,PERSON,-0.05263157894736842,0.07017543859649122,en,1.9
Jeffrey Epstein,Jeffrey Epstein,PERSON,0.1291866028708134,0.8078149920255183,en,1.9
Craig Federighi,Craig Federighi,PERSON,-0.06578947368421052,0.4078947368421053,en,1.9
Sanae Takaichi,Sanae Takaichi,PERSON,0.11842105263157894,0.2456140350877193,en,1.9
Tommi Tiilikainen,Tommi Tiilikainen,PERSON,0.05882352941176471,0.5882352941176471,en,1.7
Masovian Voivodeship,Masovian Voivodeship,PERSON,0.0,0.0,en,1.7
Zhang Youxia,Zhang Youxia,PERSON,0.019607843137254916,0.4607843137254902,en,1.7
Asha Sharma,Asha Sharma,PERSON,0.013101604278074865,0.5064171122994653,en,1.7
Łódź Voivodeship,Łódź Voivodeship,PERSON,0.03676470588235294,0.27941176470588236,en,1.7
Elżbieta Filipiak,Elżbieta Filipiak,PERSON,0.3235294117647059,0.7058823529411765,en,1.7
Jarosław Kaczyński,Jarosław Kaczyński,PERSON,0.21874999999999997,0.625,en,1.6
Szymon Hołownia,Szymon Hołownia,PERSON,-0.6634615384615384,1.3012820512820513,en,1.3
Katarzyna Pełczyńska-Nałęcz,Katarzyna Pełczyńska-Nałęcz,PERSON,0.1888111888111888,0.41142191142191137,en,1.3
Tom Rose,Tom Rose,PERSON,0.7447552447552447,1.270979020979021,en,1.3
Paulina Hennig-Kloska,Paulina Hennig-Kloska,PERSON,0.05244755244755244,0.32867132867132864,en,1.3
Nicole Konderla-Juroszek,Nicole Konderla-Juroszek,PERSON,0.0,0.0,en,1.0
Ted Sarandos,Ted Sarandos,PERSON,0.0,0.0,en,1.0
David Ellison,David Ellison,PERSON,0.0,0.06666666666666667,en,1.0
Radosław Sikorski,Radosław Sikorski,PERSON,0.6,1.0,en,1.0
Tomasz Wasile,Tomasz Wasile,PERSON,0.0,0.0,en,1.0
Dwór Mazowiecki,Dwór Mazowiecki,PERSON,0.1,0.4,en,1.0
Greg Peters,Greg Peters,PERSON,0.0,0.0,en,1.0
Świadomość ryzyka,Świadomość ryzyka,PERSON,0.0,0.0,en,1.0
Marek Papszun,Marek Papszun,PERSON,0.2,0.9,en,1.0
Radosław Kucharski,Radosław Kucharski,PERSON,-0.1,0.1,en,1.0
